"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"149","","Blake Bortles","JAC","QB21","9","61","210","155.7","27.3","187.0","+38.0"
"150","","Matt Breida","SF","RB51","11","35","250","151.2","30.3","156.0","+6.0"
"151","","DeSean Jackson","TB","WR58","5","90","241","148.0","33.9","173.0","+22.0"
"152","","Michael Gallup","DAL","WR59","8","76","214","140.6","33.1","140.0","-12.0"
"153","","Chris Godwin","TB","WR60","5","88","215","143.5","30.5","169.0","+16.0"
"154","","Mohamed Sanu","ATL","WR61","8","63","263","148.9","40.9","160.0","+6.0"
"155","","Philadelphia (PHI)","","DST3","9","81","282","156.3","27.0","129.0","-26.0"
"156","","Los Angeles (LAR)","","DST4","12","83","261","156.8","27.7","122.0","-34.0"
"157","","Mitch Trubisky","CHI","QB22","5","85","220","159.8","23.5","166.0","+9.0"
"158","","Benjamin Watson","NO","TE20","6","108","278","162.0","33.3","194.0","+36.0"
"159","","Eli Manning","NYG","QB23","9","95","247","163.1","24.7","184.0","+25.0"
"160","","Austin Seferian-Jenkins","JAC","TE21","9","103","222","157.0","27.1","159.0","-1.0"
"161","","Ricky Seals-Jones","ARI","TE22","9","72","261","161.5","30.6","228.0","+67.0"
"162","","Nyheim Hines","IND","RB52","9","45","261","158.0","35.6","151.0","-11.0"
"163","","Tyrell Williams","LAC","WR62","8","86","263","155.0","38.4","198.0","+35.0"
"164","","Los Angeles (LAC)","","DST5","8","91","286","163.1","28.3","148.0","-16.0"
"165","","Austin Hooper","ATL","TE23","8","89","264","164.7","31.2","174.0","+9.0"
"166","","Latavius Murray","MIN","RB53","10","97","231","161.8","25.3","141.0","-25.0"
"167","","Dez Bryant","FA","WR63","","57","244","148.8","40.4","152.0","-15.0"
"168","","Houston (HOU)","","DST6","10","96","290","166.1","27.3","149.0","-19.0"
"169","","Paul Richardson","WAS","WR64","4","103","263","158.0","36.1","167.0","-2.0"
"170","","Case Keenum","DEN","QB24","10","68","227","167.7","27.2","200.0","+30.0"
"171","","Denver (DEN)","","DST7","10","88","267","166.5","24.3","161.0","-10.0"
"172","","John Brown","BAL","WR65","10","90","254","160.3","43.3","171.0","-1.0"
"173","","Andy Dalton","CIN","QB25","9","111","275","173.5","28.9","197.0","+24.0"
"174","","Stephen Gostkowski","NE","K1","11","92","313","169.5","27.7","137.0","-37.0"
"175","","Austin Ekeler","LAC","RB54","8","89","274","169.4","37.7","188.0","+13.0"
"176","","Ted Ginn","NO","WR66","6","101","274","165.9","36.9","190.0","+14.0"
"177","","Samaje Perine","WAS","RB55","4","73","281","161.5","42.5","176.0","-1.0"
"178","","Baltimore (BAL)","","DST8","10","86","291","172.9","26.5","150.0","-28.0"
"179","","Vance McDonald","PIT","TE24","7","101","246","172.8","29.9","216.0","+37.0"
"180","","Jordan Wilkins","IND","RB56","9","77","265","164.7","40.7","163.0","-17.0"
"181","","Frank Gore","MIA","RB57","11","109","237","168.8","26.4","220.0","+39.0"
"182","","Jameis Winston","TB","QB26","5","106","229","175.9","25.5","168.0","-14.0"
"183","","Justin Tucker","BAL","K2","10","93","317","173.5","28.4","142.0","-41.0"
"184","","Javorius Allen","BAL","RB58","10","88","269","173.7","39.8","206.0","+22.0"
"185","","Mike Gesicki","MIA","TE25","11","92","289","176.4","35.4","191.0","+6.0"
"186","","D'Onta Foreman","HOU","RB59","10","119","261","171.0","31.2","153.0","-33.0"
"187","","Greg Zuerlein","LAR","K3","12","94","311","174.9","28.4","134.0","-53.0"
"188","","Dede Westbrook","JAC","WR67","9","82","266","171.0","42.7","180.0","-8.0"
"189","","Doug Martin","OAK","RB60","7","121","267","173.0","31.3","164.0","-25.0"
"190","","Tyrod Taylor","CLE","QB27","11","94","249","179.5","31.7","178.0","-12.0"
"191","","Robert Kelley","WAS","RB61","4","108","280","173.7","42.0","172.0","-19.0"
"192","","Danny Amendola","MIA","WR68","11","89","259","171.4","36.5","186.0","-6.0"
"193","","John Ross","CIN","WR69","9","43","289","178.7","45.4","212.0","+19.0"
"194","","T.J. Yeldon","JAC","RB62","9","105","268","180.5","33.5","199.0","+5.0"
"195","","Matt Bryant","ATL","K4","8","97","362","181.9","33.6","203.0","+8.0"
"196","","Hayden Hurst","BAL","TE26","10","97","284","180.3","40.4","179.0","-17.0"
"197","","Keelan Cole","JAC","WR70","9","100","273","176.9","46.8","189.0","-8.0"
"198","","Christian Kirk","ARI","WR71","9","101","250","175.1","36.0","193.0","-5.0"
"199","","LeGarrette Blount","DET","RB63","6","96","270","180.9","34.8","158.0","-41.0"
"200","","Ryan Tannehill","MIA","QB28","11","71","329","189.0","32.6","224.0","+24.0"
"201","","Cole Beasley","DAL","WR72","8","88","274","173.9","42.8","247.0","+46.0"
"202","","Ryan Grant","IND","WR73","9","106","269","175.5","42.6","283.0","+81.0"
"203","","New Orleans (NO)","","DST9","6","101","295","184.2","27.9","181.0","-22.0"
"204","","Geronimo Allison","GB","WR74","7","89","249","175.7","38.8","204.0","0.0"
"205","","Martavis Bryant","OAK","WR75","7","97","276","178.1","38.6","175.0","-30.0"
"206","","Taywan Taylor","TEN","WR76","8","87","279","181.2","54.5","211.0","+5.0"
"207","","Darren Sproles","PHI","RB64","9","122","268","182.6","34.2","251.0","+44.0"
"208","","Wil Lutz","NO","K5","6","100","360","186.6","31.0","183.0","-25.0"
"209","","New England (NE)","","DST10","11","105","306","188.6","27.2","185.0","-24.0"
"210","","Quincy Enunwa","NYJ","WR77","11","101","275","187.5","41.6","248.0","+38.0"
"211","","Seattle (SEA)","","DST11","7","110","347","194.1","38.1","230.0","+19.0"
"212","","Pittsburgh (PIT)","","DST12","7","103","321","190.6","28.7","208.0","-4.0"
"213","","Adrian Peterson","WAS","RB65","4","94","317","189.5","63.6","170.0","-43.0"
"214","","Mike Wallace","PHI","WR78","9","73","279","191.0","42.7","246.0","+32.0"
"215","","Kenneth Dixon","BAL","RB66","10","109","280","183.2","36.5","236.0","+21.0"
"216","","Donte Moncrief","JAC","WR79","9","81","307","191.0","47.1","237.0","+21.0"
